question,result,context
What red wines would you suggest for someone who enjoys a velvety texture and soft tannins?,"| Title | Description | Variety | Country | Region | Winery | Province |
Suggest a wine from a winery known for its historic practices.,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Jean-Luc Baldès 2006 Clos Triguedina The New Black Wine Malbec (Cahors) | A medieval method of making Cahors, known as the black wine, with flavors of stewed prunes allied to intense, dry tannins. Red berries add freshness, but this is more jelly, cooked fruits and darkness. | Malbec | France | Cahors | Jean-Luc Baldès | Southwest France |
| Dão Sul 2012 Casa de Santar Red (Dão) | A structured, mineral, dark in character and firm in tannins wine from one of the oldest estates in the Dão region. Rich black fruits are waiting to burst out, bringing with them ripeness and balanced acidity. | Portuguese Red | Portugal | Dão | Dão Sul | Dão |
| Sanctuary 2013 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley) | A wine that shows bright strawberry and raspberry with touch of savory wood smoke as well as hibiscus-laced pastry and a pinch of thyme. Earthy sagebrush and wild herb flavors frame the palate, where cooked cherries and cranberries are spiced by cardamom and dried ginger spice. | Pinot Noir | US | Santa Maria Valley | Sanctuary | California |
| Tre Donne 2006 Tradizione  (Barbera d'Alba) | A wine that evokes the storied traditions of Piemontese winemaking. Exhibits bright berry aromas with raw tones of raspberries and white cherries. | Barbera | Italy | Barbera d'Alba | Tre Donne | Piedmont |
| Scott Harvey 2014 Vineyard 1869 Zinfandel (Amador County) | A dry well-balanced Zin from a vineyard originally planted in 1869. Medium bodied, nicely structured with firm tannins and has aromatic complexity from cedar, tobacco and cardamom notes, plus delicious just-ripe cherry flavors. | Zinfandel | US | Amador | Scott Harvey | California |","Country: US, Description: Winemaker Dennis Martin puts grape grower Stephen Miller's signature on this wine, a nod to the importance of this historic vineyard. The wine shows bright strawberry and raspberry with touch of savory wood smoke as well as hibiscus-laced pastry and a pinch of thyme. Earthy sagebrush and wild herb flavors frame the palate, where cooked cherries and cranberries are spiced by cardamom and dried ginger spice., Designation: Bien Nacido Vineyard, Points: 93.0, Price: 40.0, Province: California, Title: Sanctuary 2013 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley), Variety: Pinot Noir, Winery: Sanctuary, Region: Santa Maria Valley, Style1: Pinot Noir - California, Style2: Pinot Noir - Santa Maria Valley, Style3: Pinot Noir - Santa Maria Valley Country: Portugal, Description: The historic Santar estate is one of the oldest in the Dão region. The estate wine is structured, mineral, dark in character and firm in tannins. At the same time, rich black fruits are waiting to burst out, bringing with them ripeness and balanced acidity. It's a serious wine for aging; drink from 2018., Designation: Casa de Santar, Points: 90.0, Price: 13.0, Province: Dão, Title: Dão Sul 2012 Casa de Santar Red (Dão), Variety: Portuguese Red, Winery: Dão Sul, Region: Dão, Style1: Portuguese Red - Dão, Style2: Portuguese Red - Dão, Style3: Portuguese Red - Portugal Country: US, Description: Earthy aromas of juniper and forest floor give depth to the rusty cherry, tart cranberry, dried hibiscus and pepper-dust scents on the nose of this bottling from the historic vineyard. Soft in structure at first, it then delivers a firmer tannic edge in the midpalate, all the while delivering vivacious red fruit and pine-forest flavors. It will age very well., Designation: Sanford & Benedict Vineyard, Points: 92.0, Price: 70.0, Province: California, Title: Sanford 2014 Sanford & Benedict Vineyard Pinot Noir (Sta. Rita Hills), Variety: Pinot Noir, Winery: Sanford, Region: Sta. Rita Hills, Style1: Pinot Noir - California, Style2: Pinot Noir - Sta. Rita Hills, Style3: Pinot Noir - Sta. Rita Hills Country: Italy, Description: Tradizione, as the name suggests, does evoke the storied traditions of Piemontese winemaking. Aged in Slavonian oak casks (instead of French barrique) the wine exhibits bright berry aromas with raw tones of raspberries and white cherries., Designation: Tradizione, Points: 87.0, Price: 17.0, Province: Piedmont, Title: Tre Donne 2006 Tradizione  (Barbera d'Alba), Variety: Barbera, Winery: Tre Donne, Region: Barbera d'Alba, Style1: Barbera - Piedmont, Style2: Barbera - Piedmont, Style3: Barbera - Italy Country: US, Description: The color—a rather light garnet going to brownish—suggests an older wine or one made with rustic methods, and the flavors travel the same path. An earthy quality shades modest cherry flavors, while hints of clove and cinnamon add complexity., Designation: Estate, Points: 83.0, Price: 50.0, Province: California, Title: Toulouse 2011 Estate Pinot Noir (Anderson Valley), Variety: Pinot Noir, Winery: Toulouse, Region: Anderson Valley, Style1: Pinot Noir - California, Style2: Pinot Noir - Anderson Valley, Style3: Pinot Noir - Anderson Valley Country: Portugal, Description: The historic vineyard of Casa de Santar in the heart of the Dão region has produced a dense and powerful offering, with rich tannins and black fruits. Its intense, solid blackberry and spice flavors are followed by acidity, contributing complexity. Age for at least four years., Designation: Casa de Santar Reserva, Points: 93.0, Price: 27.0, Province: Dão, Title: Dão Sul 2008 Casa de Santar Reserva Red (Dão), Variety: Portuguese Red, Winery: Dão Sul, Region: Dão, Style1: Portuguese Red - Dão, Style2: Portuguese Red - Dão, Style3: Portuguese Red - Portugal Country: US, Description: The historic Pritchard Hill producer swings for the fences with this Cab, intense in black cherry, blackberry and cedar. Hard to penetrate on first try, it demands cellaring to soften its wall of hearty tannins, the merest hint of chocolate-coffee begging to break out. Lushly powerful and complex, it can be enjoyed through 2027., Designation: Signature, Points: 91.0, Price: 56.0, Province: California, Title: Chappellet 2012 Signature Cabernet Sauvignon (Napa Valley), Variety: Cabernet Sauvignon, Winery: Chappellet, Region: Napa Valley, Style1: Cabernet Sauvignon - California, Style2: Cabernet Sauvignon - Napa Valley, Style3: Cabernet Sauvignon - Napa Valley Country: Argentina, Description: A rich yellow color and intensely woody aromas of sawmill smoke and barrel spice lead to a fleshy, full and oily palate. This wine tastes heavily of oak and related resin. The fruit character is not a big factor on either the palate or the finish., Designation: Alta Historic Rows, Points: 88.0, Price: 33.0, Province: Mendoza Province, Title: Bodega Catena Zapata 2015 Alta Historic Rows Chardonnay (Mendoza), Variety: Chardonnay, Winery: Bodega Catena Zapata, Region: Mendoza, Style1: Chardonnay - Mendoza Province, Style2: Chardonnay - Mendoza Province, Style3: Chardonnay - Argentina Country: France, Description: By heating part of the must before vinification, Jean-Luc Baldès has revived the medieval way of making Cahors, when it was know as the black wine. It gives, literally, black colored wine, with flavors of stewed prunes allied to intense, dry tannins. Red berries add freshness, but this is more jelly, cooked fruits and darkness., Designation: Clos Triguedina The New Black Wine, Points: 94.0, Price: unknown, Province: Southwest France, Title: Jean-Luc Baldès 2006 Clos Triguedina The New Black Wine Malbec (Cahors), Variety: Malbec, Winery: Jean-Luc Baldès, Region: Cahors, Style1: Malbec - Southwest France, Style2: Malbec - Southwest France, Style3: Malbec - France Country: US, Description: This is a great example of a dry well-balanced Zin to drink with dinner rather than as a sweet dessert. It's also a taste of history, coming from a vineyard originally planted in 1869. It's medium bodied, nicely structured with firm tannins and has aromatic complexity from cedar, tobacco and cardamom notes, plus delicious just-ripe cherry flavors., Designation: Vineyard 1869, Points: 93.0, Price: 48.0, Province: California, Title: Scott Harvey 2014 Vineyard 1869 Zinfandel (Amador County), Variety: Zinfandel, Winery: Scott Harvey, Region: Amador, Style1: Zinfandel - California, Style2: Zinfandel - Amador, Style3: Zinfandel - Amador Country: US, Description: There's something old-fashioned about this wine, in its strong, edgy tannins and rustic mouthfeel. Yet it's high and hot in alcohol, with extracted, jammy cherry and raisin flavors. Doesn't seem to be an ager, so drink now., Designation: Argos Hill, Points: 85.0, Price: 44.0, Province: California, Title: Dutch Henry Winery 2005 Argos Hill Red (Napa Valley), Variety: Bordeaux-style Red Blend, Winery: Dutch Henry Winery, Region: Napa Valley, Style1: Bordeaux-style Red Blend - California, Style2: Bordeaux-style Red Blend - Napa Valley, Style3: Bordeaux-style Red Blend - Napa Valley Country: France, Description: In Cahors Tradition means a wine that doesn't go into barrels for aging. That keeps the fruit vibrant and crisp, as it is here. The wine is ripe, full in the mouth with fruit tannins and black-currant acidity. It is a year away from maturity, so drink from 2017., Designation: Tradition, Points: 88.0, Price: 16.0, Province: Southwest France, Title: Château Eugénie 2014 Tradition Malbec-Merlot (Cahors), Variety: Malbec-Merlot, Winery: Château Eugénie, Region: Cahors, Style1: Malbec-Merlot - Southwest France, Style2: Malbec-Merlot - Southwest France, Style3: Malbec-Merlot - France Country: Italy, Description: Packaged in a beautifully unique glass bottle, this collector's wine from southern Italy offers balance, intensity and cleanly etched aromas of black fruit, resin, cola, rum cake, dried violets and tobacco. The finish is elegant, polished and lingers long on the palate thanks to the drying tannins., Designation: Naturalis Historia, Points: 92.0, Price: unknown, Province: Southern Italy, Title: Mastroberardino 2005 Naturalis Historia  (Taurasi), Variety: Aglianico, Winery: Mastroberardino, Region: Taurasi, Style1: Aglianico - Southern Italy, Style2: Aglianico - Southern Italy, Style3: Aglianico - Italy Country: Portugal, Description: From vineyards owned by the Van Zeller family in the narrow valley of the Torto River, this serious powerful wine is a mere baby. It was produced in open-stone fermenters with traditional foot treading and that gives the wine its extra opulence and richness. Tannins and immense black fruit are still developing. Save this bottle until 2020., Designation: CV Curriculum Vitae, Points: 95.0, Price: 101.0, Province: Douro, Title: Quinta Vale Dona Maria 2013 CV Curriculum Vitae Red (Douro), Variety: Portuguese Red, Winery: Quinta Vale Dona Maria, Region: Douro, Style1: Portuguese Red - Douro, Style2: Portuguese Red - Douro, Style3: Portuguese Red - Portugal Country: France, Description: Not just old vines, but ancient vines, this is a juicy, concentrated and ripe wine. It is sufficiently rich and textured to need some aging to bring out the full fruits even more. Drink from 2014., Designation: Anciennes Vignes, Points: 89.0, Price: 26.0, Province: Loire Valley, Title: Patient Cottat 2012 Anciennes Vignes  (Menetou-Salon), Variety: Sauvignon Blanc, Winery: Patient Cottat, Region: Menetou-Salon, Style1: Sauvignon Blanc - Loire Valley, Style2: Sauvignon Blanc - Loire Valley, Style3: Sauvignon Blanc - France"
I'm interested in a wine from the Champagne region.,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Charles Ellner 2001 Millésime Brut  (Champagne) | A taut, mineral wine with a dominance of Chardonnay. Crisp citrus and a very textured feel. Worth aging for 3–4 years. | Champagne Blend | France | Champagne | Charles Ellner | Champagne |
| Baron-Fuenté NV Esprit Grand Cru  (Champagne) | An impressive blend of three vintages with both crisp fruit and maturity from bottle aging. Ripe with sliced apple fruit and plenty of citrus. | Champagne Blend | France | Champagne | Baron-Fuenté | Champagne |
| Dom Caudron 2008 Sublimité 50/50  (Champagne) | A 50-50 blend of Pinot Meunier and Chardonnay. Rich, with good spice and flavor concentration. Dry and crisp, with ripe grapes, acidity and citrus flavors. | Champagne Blend | France | Champagne | Dom Caudron | Champagne |
| Charles Orban NV Blanc de Noirs Brut  (Champagne) | Made entirely from red grapes, this wine has good richness, acidity, and flavors of red plums and berries. | Champagne Blend | France | Champagne | Charles Orban | Champagne |
| Baron-Fuenté NV Esprit Grand Cru Brut  (Champagne) | A crisp, tight, mineral character balanced by the crisp apple flavor and fresh acidity. Quite ready to drink. | Champagne Blend | France | Champagne | Baron-Fuenté | Champagne |","Country: France, Description: A taut, mineral wine with a domiNAce of Chardonnay to give the crispest citrus and a very textured feel. Definitely dry, the wine, not from a classic vintage year, seems still young and all fruit, so it would be worth aging for 3–4 years., Designation: Millésime Brut, Points: 90.0, Price: 51.0, Province: Champagne, Title: Charles Ellner 2001 Millésime Brut  (Champagne), Variety: Champagne Blend, Winery: Charles Ellner, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: A blend of three vintages, this impressive wine from the southern Champagne vineyards of the Aube has both crisp fruit and maturity from bottle aging. It's ripe with sliced apple fruit and plenty of citrus. Drink now., Designation: Esprit Grand Cru, Points: 93.0, Price: 40.0, Province: Champagne, Title: Baron-Fuenté NV Esprit Grand Cru  (Champagne), Variety: Champagne Blend, Winery: Baron-Fuenté, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: A 50-50 blend of Pinot Meunier and Chardonnay from the Marne Valley gives this wood-aged wine richness, with good spice and flavor concentration. Dry and crisp, it benefits from the fine vintage to highlight ripe grapes with acidity and citrus flavors. The wine is ready to drink., Designation: Sublimité 50/50, Points: 92.0, Price: 95.0, Province: Champagne, Title: Dom Caudron 2008 Sublimité 50/50  (Champagne), Variety: Champagne Blend, Winery: Dom Caudron, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: This small producer in the Marne Valley boasts 15 acres of vines. This Blanc de Noirs, made entirely from red grapes, has the good richness, allied with acidity, that turns it into an excellent food wine. Flavors of red plums and berries are boosted with toastiness., Designation: Blanc de Noirs Brut, Points: 87.0, Price: 50.0, Province: Champagne, Title: Charles Orban NV Blanc de Noirs Brut  (Champagne), Variety: Champagne Blend, Winery: Charles Orban, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: Grapes from Grand Cru vineyards on the Montagne de Reims and Côte des Blancs go into this elegant wine. A crisp, tight, mineral character is balanced by the crisp apple flavor and fresh acidity. This bottling has some age so is quite ready to drink., Designation: Esprit Grand Cru Brut, Points: 92.0, Price: 100.0, Province: Champagne, Title: Baron-Fuenté NV Esprit Grand Cru Brut  (Champagne), Variety: Champagne Blend, Winery: Baron-Fuenté, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: From vines on the Montagne de Reims, this Chardonnay-dominated Champagne has a ripe texture that contrasts with the mineral character of the Côte des Blancs across the valley. That gives a rich, apple- and white fruit-inflected flavor to this attractive nonvintage cuvée. Drink now., Designation: Brut, Points: 89.0, Price: 50.0, Province: Champagne, Title: Jacques Picard NV Brut  (Champagne), Variety: Champagne Blend, Winery: Jacques Picard, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: A blend of Pinot Noir and Pinot Meunier, this is a rich Champagne. It has layers of red currant fruits and intense acidity. There is some toast coming through as this wine has aged., Designation: Fleur Noir Blanc de Noirs Brut, Points: 89.0, Price: 59.0, Province: Champagne, Title: Beaumont des Crayères 2003 Fleur Noir Blanc de Noirs Brut  (Champagne), Variety: Champagne Blend, Winery: Beaumont des Crayères, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: The wine in this 100% Pinot Noir comes from one of the top villages in the Montagne de Reims. It is rich, structured and with a youthful character despite its nine years . It has berry and rich plum fruits as well as a dry core of acidity. Drink this ageworthy Champagne from 2019., Designation: RSRV Maison Mumm Blanc de Noirs Grand Cru Brut, Points: 93.0, Price: 75.0, Province: Champagne, Title: G. H. Mumm 2008 RSRV Maison Mumm Blanc de Noirs Grand Cru Brut Pinot Noir (Champagne), Variety: Pinot Noir, Winery: G. H. Mumm, Region: Champagne, Style1: Pinot Noir - Champagne, Style2: Pinot Noir - Champagne, Style3: Pinot Noir - France Country: France, Description: With the dominance of Pinot Noir in the Aube region, it is no surprise to find a vintage Champagne that is 100% from that grape. With a round character from the Pinot, as well as a hot vintage, this is a full-bodied wine with vibrant fruit and lively acidity. Drink now., Designation: Blanc de Noirs Millésime Brut, Points: 91.0, Price: 100.0, Province: Champagne, Title: Jean Laurent 2003 Blanc de Noirs Millésime Brut Pinot Noir (Champagne), Variety: Pinot Noir, Winery: Jean Laurent, Region: Champagne, Style1: Pinot Noir - Champagne, Style2: Pinot Noir - Champagne, Style3: Pinot Noir - France Country: France, Description: Produced in the Aube region, this ripe full wine is rich and generous. With apple and pear fruitiness and a smooth creamy mousse, the wine has just the right amount of bottle aging. Drink now., Designation: L'Eloquente Brut, Points: 91.0, Price: 50.0, Province: Champagne, Title: Jean de la Fontaine NV L'Eloquente Brut  (Champagne), Variety: Champagne Blend, Winery: Jean de la Fontaine, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: Tight, textured wine with delicious green apple and mineral character. The wine has some softness, but is more dominated by a fine steel core of acidity. It could age well., Designation: Millésime Brut, Points: 90.0, Price: 59.0, Province: Champagne, Title: Philippe Prié 2002 Millésime Brut  (Champagne), Variety: Champagne Blend, Winery: Philippe Prié, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: Named after the daughter of the house, this wine comes from old Chardonnay vines on the Montagne de Reims. The palate is full of apple and citrus flavors, along with a rich apricot note. It has weight and richness to balance intense minerality. A deliciously full wine, it is ready to drink now but will continue to improve through 2022., Designation: Marie-Amélie Blanc de Blancs Fleur de Vigne Brut, Points: 93.0, Price: unknown, Province: Champagne, Title: Henriet-Bazin 2008 Marie-Amélie Blanc de Blancs Fleur de Vigne Brut Chardonnay (Champagne), Variety: Chardonnay, Winery: Henriet-Bazin, Region: Champagne, Style1: Chardonnay - Champagne, Style2: Chardonnay - Champagne, Style3: Chardonnay - France Country: France, Description: A rich Champagne produced from Montagne de Reims Pinot Noir vineyards, this is full and textured, hinting at red currants as well as tight citrus acidity. It is full of fruitiness, a ripe wine that is very drinkable now., Designation: Extra Brut Premier Cru Blanc de Noirs, Points: 90.0, Price: 50.0, Province: Champagne, Title: Lombard et Cie NV Extra Brut Premier Cru Blanc de Noirs Pinot Noir (Champagne), Variety: Pinot Noir, Winery: Lombard et Cie, Region: Champagne, Style1: Pinot Noir - Champagne, Style2: Pinot Noir - Champagne, Style3: Pinot Noir - France Country: France, Description: This is a ripe and creamy wine from the great 2008 vintage. Tight acidity and lively citrus are balanced by a more serious richness and texture. The wine, bringing all three of the main Champagne grapes together, is still maturing. Wait until 2018., Designation: Vintage Brut, Points: 93.0, Price: 60.0, Province: Champagne, Title: Pannier 2008 Vintage Brut  (Champagne), Variety: Champagne Blend, Winery: Pannier, Region: Champagne, Style1: Champagne Blend - Champagne, Style2: Champagne Blend - Champagne, Style3: Champagne Blend - France Country: France, Description: A ripe and opulent Champagne with intense white and yellow fruit flavors. The wine is full bodied, with just a touch of toast to show approaching maturity. This is a wonderfully open and generous wine., Designation: Les Chétillons Blanc de Blancs, Points: 93.0, Price: unknown, Province: Champagne, Title: Pierre Péters 2005 Les Chétillons Blanc de Blancs Chardonnay (Champagne), Variety: Chardonnay, Winery: Pierre Péters, Region: Champagne, Style1: Chardonnay - Champagne, Style2: Chardonnay - Champagne, Style3: Chardonnay - France"
Can you suggest a wine from Australia?,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
| Cullen 2013 Kevin John Chardonnay (Margaret River) | Subtly smoky, hints of lime and vanilla, plump and slightly creamy in texture, finishes with crisp, acidic verve. | Chardonnay | Australia | Margaret River | Cullen | Western Australia |
| Wirra Wirra 2012 Catapult Shiraz (McLaren Vale) | Medium- to full-bodied Shiraz with a blend of cherry and plum flavors, savory elements of mocha and roasted meat. | Shiraz | Australia | McLaren Vale | Wirra Wirra | South Australia |
| D'Arenberg 2009 The Money Spider Roussanne (McLaren Vale) | Modest aromas of struck flint and pear, flavors are reminiscent of buttery, honeyed pears, yet stay tart from start to finish. | Roussanne | Australia | McLaren Vale | D'Arenberg | South Australia |
| Mount Mary 2004 Quintet Red (Yarra Valley) | An appealing, well-crafted wine that combines leather, cherry and dried herbs in a somewhat lean, crisp style. | Bordeaux-style Red Blend | Australia | Yarra Valley | Mount Mary | Victoria |
| Grosset 2002 Polish Hill Riesling (Clare Valley) | Very dry Riesling, with strong lime and a fresh herbal flavors, finishes medium-long with grapefruit and putty flavors. | Riesling | Australia | Clare Valley | Grosset | South Australia |","Country: Australia, Description: It's a shame only the equivalent of one barrel of this wine was exported to the U.S., as it means only a handful of people here will get to experience it. It's perhaps the closest thing to great white Burgundy to come from Australia; subtly smoky at first, like grilled white peaches, adding hints of lime and vanilla on the palate. It's plump and slightly creamy in texture, but finishes with crisp, acidic verve. Drink now–2025., Designation: Kevin John, Points: 94.0, Price: 109.0, Province: Western Australia, Title: Cullen 2013 Kevin John Chardonnay (Margaret River), Variety: Chardonnay, Winery: Cullen, Region: Margaret River, Style1: Chardonnay - Western Australia, Style2: Chardonnay - Western Australia, Style3: Chardonnay - Australia Country: Australia, Description: This South Eastern Australia Chard packs quite a punch for the price. The nose is fresh but subtle, with hints of hand soap and cut apples. There's a luxurious quality to the palate that melds well with flavors of almond and pear and carries over to the silky, medium finish. Winds up on a note of tropical fruit. Drink now through 2011., Designation: Estate Range, Points: 86.0, Price: 9.0, Province: Australia Other, Title: Beelgara 2008 Estate Range Chardonnay (South Eastern Australia), Variety: Chardonnay, Winery: Beelgara, Region: South Eastern Australia, Style1: Chardonnay - Australia Other, Style2: Chardonnay - Australia Other, Style3: Chardonnay - Australia Country: Australia, Description: Representative of the solid values that may be found from Australia for about $20, this medium- to full-bodied Shiraz offers a blend of cherry and plum flavors, with savory elements of mocha and roasted meat. It's slightly dusty on the finish, making it food-friendly, ending with hints of cocoa and coffee. Drink now–2018., Designation: Catapult, Points: 90.0, Price: 20.0, Province: South Australia, Title: Wirra Wirra 2012 Catapult Shiraz (McLaren Vale), Variety: Shiraz, Winery: Wirra Wirra, Region: McLaren Vale, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: Hints of lemon curd and crème brûlée join peach and citrus, finishing with a surprising degree of elegance. Drink up., Designation: Stamp of Australia, Points: 85.0, Price: 8.0, Province: Australia Other, Title: Hardys 2014 Stamp of Australia Chardonnay (South Eastern Australia), Variety: Chardonnay, Winery: Hardys, Region: South Eastern Australia, Style1: Chardonnay - Australia Other, Style2: Chardonnay - Australia Other, Style3: Chardonnay - Australia Country: Australia, Description: Round and lush, with boldly oaky notes of caramelized nuts and vanilla accenting tropical fruit. Drink now., Designation: Reserve, Points: 87.0, Price: 12.0, Province: Australia Other, Title: Yellow Tail 2009 Reserve Chardonnay (South Eastern Australia), Variety: Chardonnay, Winery: Yellow Tail, Region: South Eastern Australia, Style1: Chardonnay - Australia Other, Style2: Chardonnay - Australia Other, Style3: Chardonnay - Australia Country: Australia, Description: Slightly smoky grilled-toast aromas lead into a plump medium-bodied wine filled with flavors of yellow plum, tangerine and lime. It's not particularly zesty or linear in a true cool-climate fashion, but steers clear of ripe tropical fruit, ending on a gentle note of citrus pith. Drink now., Designation: Cool Climate, Points: 87.0, Price: 16.0, Province: Australia Other, Title: McWilliam's 2014 Cool Climate Chardonnay (Australia), Variety: Chardonnay, Winery: McWilliam's, Region: Australia, Style1: Chardonnay - Australia Other, Style2: Chardonnay - Australia Other, Style3: Chardonnay - Australia Country: Australia, Description: Deep golden straw in color, with modest aromas of struck flint and pear. The flavors are reminiscent of buttery, honeyed pears, yet stay tart from start to finish. Perplexing., Designation: The Money Spider, Points: 83.0, Price: 25.0, Province: South Australia, Title: D'Arenberg 2009 The Money Spider Roussanne (McLaren Vale), Variety: Roussanne, Winery: D'Arenberg, Region: McLaren Vale, Style1: Roussanne - South Australia, Style2: Roussanne - South Australia, Style3: Roussanne - Australia Country: Australia, Description: One of Australia's most expensive and sought-after Cabernet blends, Mount Mary's Quintet has failed to impress more than one American critic. It's an appealing, well-crafted wine that combines leather, cherry and dried herbs in a somewhat lean, crisp style that delivers a long, mineral-and-cedar finish., Designation: Quintet, Points: 89.0, Price: 145.0, Province: Victoria, Title: Mount Mary 2004 Quintet Red (Yarra Valley), Variety: Bordeaux-style Red Blend, Winery: Mount Mary, Region: Yarra Valley, Style1: Bordeaux-style Red Blend - Victoria, Style2: Bordeaux-style Red Blend - Victoria, Style3: Bordeaux-style Red Blend - Australia Country: Australia, Description: Fits the big-production Aussie recipe to a T, blending tropical fruit, vanilla, apple and citrus flavors. It's just a little lighter than expected and finishes short., Designation: Diamond Label, Points: 84.0, Price: 12.0, Province: Australia Other, Title: Rosemount 2001 Diamond Label Chardonnay (South Eastern Australia), Variety: Chardonnay, Winery: Rosemount, Region: South Eastern Australia, Style1: Chardonnay - Australia Other, Style2: Chardonnay - Australia Other, Style3: Chardonnay - Australia Country: Australia, Description: Deceptively silky and elegant in texture, so much so that its power is easy to overlook. Cassis and tobacco flavors are typical, framed by touches of brown sugar, while the finish turns a bit lean and herbal, with tea-like tannins. 70% Cab Sauvignon, 25% Cab Franc, 5% Merlot., Designation: Gaia, Points: 90.0, Price: 52.0, Province: South Australia, Title: Grosset 2004 Gaia Red (Clare Valley), Variety: Bordeaux-style Red Blend, Winery: Grosset, Region: Clare Valley, Style1: Bordeaux-style Red Blend - South Australia, Style2: Bordeaux-style Red Blend - South Australia, Style3: Bordeaux-style Red Blend - Australia Country: Australia, Description: An honest and very ripe take on Australian Chardonnay, with opulent notes of fig, pineapple and guava underscored by crisp lemon and a faint spritz that refresh the palate. The short-to-medium finish turns a bit soft. Quite likable on the whole. Try with lobster., Designation: Unwooded, Points: 85.0, Price: 18.0, Province: Western Australia, Title: West Cape Howe 2008 Unwooded Chardonnay (Western Australia), Variety: Chardonnay, Winery: West Cape Howe, Region: Western Australia, Style1: Chardonnay - Western Australia, Style2: Chardonnay - Western Australia, Style3: Chardonnay - Australia Country: Australia, Description: A sleek name and a sleek wine. Vanilla and toffee overflow from the effusive nose while sour candy and plum jam take over on the palate. It's a tad thin in the mouth but finishes on a lovely raspberry note that has just a bit of sticking power. Drink as the Australians do, with Christmas dinner. Sparkling Shiraz may not be something you pour every day, but this is one worth reaching for. It delivers lots of upfront berry fruit and lashings of dark chocolate, then finishes relatively dry and clean., Designation: Black Bubbles Sparkling, Points: 86.0, Price: 25.0, Province: South Australia, Title: Shingleback NV Black Bubbles Sparkling Shiraz (McLaren Vale), Variety: Shiraz, Winery: Shingleback, Region: McLaren Vale, Style1: Shiraz - South Australia, Style2: Shiraz - South Australia, Style3: Shiraz - Australia Country: Australia, Description: Whether you ask me, God, or the lamp post, anyone who's ever had Australian Riesling will count this among the country's best versions of the variety. On the nose, it yields a little sweetness, plus some grapefruit and passion fruit; after a few minutes in the glass, the passion fruit aromas hold on and are joined by kiwi and other fresh tropical fruit. It's a very dry Riesling, with strong lime and a fresh herbal (perhaps cilantro?) flavors, which makes the mineral foundation seem that much drier and racier. Finishes medium-long with grapefruit and putty flavors. An excellent food wine…or an excellent  last meal in itself., Designation: Polish Hill, Points: 91.0, Price: 30.0, Province: South Australia, Title: Grosset 2002 Polish Hill Riesling (Clare Valley), Variety: Riesling, Winery: Grosset, Region: Clare Valley, Style1: Riesling - South Australia, Style2: Riesling - South Australia, Style3: Riesling - Australia Country: Australia, Description: Muted on the nose, with flavors of apple and white gumdrops, and finishing with hints of butter and anise., Designation: Peace Family Vineyard, Points: 81.0, Price: 8.0, Province: Australia Other, Title: Andrew Peace 2006 Peace Family Vineyard Chardonnay (South Eastern Australia), Variety: Chardonnay, Winery: Andrew Peace, Region: South Eastern Australia, Style1: Chardonnay - Australia Other, Style2: Chardonnay - Australia Other, Style3: Chardonnay - Australia Country: Australia, Description: Focused in the mouth with just a touch of creaminess, the Logan offers pear and nutmeg flavors, and a hint of green apple on the finish. It's not a mouthfilling, overly flashy wine, but this could be a good thing if you're pouring it with dinner. Try it with your first-course seafood dish., Designation: Reserve, Points: 86.0, Price: 21.0, Province: New South Wales, Title: Logan Australia 1999 Reserve Chardonnay (Orange), Variety: Chardonnay, Winery: Logan Australia, Region: Orange, Style1: Chardonnay - New South Wales, Style2: Chardonnay - New South Wales, Style3: Chardonnay - Australia"
I'm interested in a wine from the Bordeaux region.,"| Title | Description | Variety | Country | Region | Winery | Province |
| --- | --- | --- | --- | --- | --- | --- |
